pt,n,ror,ror_lower95,ror_upper95,prr,prr_chi2,ebgm,eb05,ic,ic025,n_methods_signal,classification,notes
HEART RATE INCREASED,35,4.0054,2.8714,5.5874,3.9448,72.4765,3.8678,2.9098,1.977,1.5024,4,Pharmacological,Anticholinergic tachycardia
GASTROINTESTINAL DISORDER,32,2.7414,1.9368,3.8801,2.7092,31.9006,2.6655,1.9788,1.4363,0.9403,3,Pharmacological,Nonspecific but GI; cholinergic GI stimulation
TREMOR,27,2.4761,1.6982,3.6102,2.453,20.9745,2.4096,1.7414,1.2933,0.7541,3,Pharmacological,Autonomic/cholinergic drug effect
TACHYCARDIA,24,3.4166,2.2918,5.0935,3.383,36.591,3.3002,2.3377,1.756,1.1847,4,Pharmacological,Anticholinergic (trospium) cardiac effect
SALIVARY HYPERSECRETION,23,29.1452,19.3085,43.993,28.7691,563.5172,25.5118,17.7388,4.8152,4.2319,4,Pharmacological,Cholinergic salivation from M agonism
DYSURIA,20,7.7962,5.0371,12.0664,7.7169,106.4005,7.3063,5.004,2.9408,2.3162,4,Pharmacological,Anticholinergic (trospium M3) lower urinary tract effect
DYSPHAGIA,17,2.24,1.3982,3.5886,2.2276,9.5531,2.1702,1.4389,1.1545,0.4786,3,Pharmacological,Anticholinergic (dry mouth/oesophageal) drug effect
SEDATION,13,4.3087,2.5199,7.3675,4.2833,27.7139,4.0689,2.5408,2.0955,1.3259,4,Pharmacological,Drug CNS effect
URINARY INCONTINENCE,8,3.9249,1.9984,7.7084,3.9108,13.0464,3.6286,1.9876,1.9647,0.9948,3,Pharmacological,Overflow from anticholinergic retention
NIGHT SWEATS,8,2.4019,1.2235,4.7153,2.3951,4.4071,2.2666,1.2413,1.259,0.2891,3,Pharmacological,Cholinergic sweating
HYPERSOMNIA,8,3.6083,1.8374,7.0861,3.5957,11.1575,3.3499,1.8349,1.8439,0.874,3,Pharmacological,Drug CNS/sedation effect
COLD SWEAT,8,6.8686,3.4945,13.5007,6.8403,31.4018,6.1183,3.3505,2.7681,1.7982,4,Pharmacological,Cholinergic/autonomic sweating
ANGIOEDEMA,8,2.3578,1.201,4.6287,2.3512,4.183,2.2263,1.2193,1.2324,0.2625,3,Pharmacological,Hypersensitivity drug reaction
RETCHING,6,3.6159,1.672,7.8198,3.6062,7.5825,3.2899,1.6415,1.8481,0.739,3,Pharmacological,Cholinergic GI effect
VOMITING PROJECTILE,6,18.6263,8.5726,40.4704,18.5611,74.8345,13.8952,6.8522,4.1957,3.0866,4,Pharmacological,Cholinergic GI effect
HICCUPS,4,6.3757,2.5218,16.1194,6.3619,10.9953,5.2566,2.2479,2.6644,1.3314,4,Pharmacological,GI/autonomic drug effect
ANURIA,4,8.7669,3.4644,22.1848,8.747,17.2481,6.8879,2.9421,3.1212,1.7883,4,Pharmacological,Severe anticholinergic urinary retention
SEDATION COMPLICATION,3,10.8755,3.793,31.1823,10.8558,14.6287,7.6775,2.8833,3.4311,1.9196,4,Pharmacological,Drug CNS/sedation effect
FEELING OF BODY TEMPERATURE CHANGE,3,7.4029,2.5857,21.1945,7.3902,8.6427,5.6627,2.1331,2.8798,1.3683,4,Pharmacological,Autonomic/thermoregulatory (cholinergic)
